GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
nr-spar-backend,ca.bc.gov.backendstartapi.endpoint,SeedlotStatusEndpoint,0,10,0,0,0,4,0,2,0,2
nr-spar-backend,ca.bc.gov.backendstartapi.endpoint,ActiveOrchardSeedPlanningUnitEndpoint,0,12,0,0,0,2,0,2,0,2
nr-spar-backend,ca.bc.gov.backendstartapi.endpoint,ForestClientEndpoint,18,38,0,0,3,8,0,5,0,5
nr-spar-backend,ca.bc.gov.backendstartapi.endpoint,DescribedEnumEndpoint,0,125,0,4,0,19,0,8,0,6
nr-spar-backend,ca.bc.gov.backendstartapi.endpoint,GeneticWorthEndpoint,0,20,0,0,0,6,0,4,0,4
nr-spar-backend,ca.bc.gov.backendstartapi.endpoint,TscAdminEndpoint,0,46,2,2,0,10,2,2,0,2
nr-spar-backend,ca.bc.gov.backendstartapi.endpoint,LatitudeCodeEndpoint,0,5,0,0,0,2,0,2,0,2
nr-spar-backend,ca.bc.gov.backendstartapi.endpoint,SeedlotEndpoint,0,177,1,7,0,30,1,17,0,14
nr-spar-backend,ca.bc.gov.backendstartapi.endpoint,SeedlotSourceEndpoint,0,10,0,0,0,4,0,2,0,2
nr-spar-backend,ca.bc.gov.backendstartapi.endpoint,GameticMethodologyEndpoint,0,10,0,0,0,4,0,2,0,2
nr-spar-backend,ca.bc.gov.backendstartapi.endpoint,FavouriteActivityEndpoint,0,31,0,0,0,9,0,5,0,5
nr-spar-backend,ca.bc.gov.backendstartapi.endpoint,ConeCollectionMethodEndpoint,0,10,0,0,0,4,0,2,0,2
nr-spar-backend,ca.bc.gov.backendstartapi.enums.parser,ConeAndPollenCountHeader,0,49,0,0,0,10,0,3,0,3
nr-spar-backend,ca.bc.gov.backendstartapi.enums.parser,SmpMixHeader,0,28,0,0,0,7,0,3,0,3
nr-spar-backend,ca.bc.gov.backendstartapi.service.parser,CsvTableParser,10,84,2,4,0,15,2,6,0,5
nr-spar-backend,ca.bc.gov.backendstartapi.service.parser,CsvTableHeaderParser,5,80,1,3,0,19,1,8,0,7
nr-spar-backend,ca.bc.gov.backendstartapi.service.parser,ConeAndPollenCountCsvTableParser,0,11,0,0,0,2,0,1,0,1
nr-spar-backend,ca.bc.gov.backendstartapi.service.parser,CsvTableRowParser,5,116,1,7,0,19,1,6,0,3
nr-spar-backend,ca.bc.gov.backendstartapi.service.parser,SmpCalculationCsvTableParser,0,11,0,0,0,2,0,1,0,1
nr-spar-backend,ca.bc.gov.backendstartapi.vo.parser,ConeAndPollenCount,0,91,0,10,0,18,0,7,0,2
nr-spar-backend,ca.bc.gov.backendstartapi.vo.parser,SmpMixVolume,0,41,0,4,0,8,0,4,0,2
nr-spar-backend,ca.bc.gov.backendstartapi.provider,OracleApiProvider.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
nr-spar-backend,ca.bc.gov.backendstartapi.provider,ForestClientApiProvider,143,691,15,17,23,121,16,14,2,12
nr-spar-backend,ca.bc.gov.backendstartapi.provider,ForestClientApiProvider.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
nr-spar-backend,ca.bc.gov.backendstartapi.provider,Provider,18,25,0,2,9,4,9,2,9,1
nr-spar-backend,ca.bc.gov.backendstartapi.provider,ForestClientApiProvider.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
nr-spar-backend,ca.bc.gov.backendstartapi.provider,ForestClientApiProvider.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
nr-spar-backend,ca.bc.gov.backendstartapi.provider,ForestClientApiProvider.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
nr-spar-backend,ca.bc.gov.backendstartapi.provider,OracleApiProvider.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
nr-spar-backend,ca.bc.gov.backendstartapi.provider,OracleApiProvider.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
nr-spar-backend,ca.bc.gov.backendstartapi.provider,OracleApiProvider.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
nr-spar-backend,ca.bc.gov.backendstartapi.provider,OracleApiProvider,252,317,11,1,44,58,9,6,3,6
nr-spar-backend,ca.bc.gov.backendstartapi.dao,GeneticWorthEntityDao,40,11,4,0,8,2,3,1,1,1
nr-spar-backend,ca.bc.gov.backendstartapi.security,IdentityProvider,0,37,0,0,0,9,0,4,0,4
nr-spar-backend,ca.bc.gov.backendstartapi.security,UserAuthenticationHelper,86,165,13,15,16,38,10,6,0,2
nr-spar-backend,ca.bc.gov.backendstartapi.security,UserInfo,30,68,6,10,0,15,6,3,0,1
nr-spar-backend,ca.bc.gov.backendstartapi.security,LoggedUserService,18,75,3,8,4,19,4,9,1,6
nr-spar-backend,ca.bc.gov.backendstartapi.util,LatLongUtil,3,139,0,0,1,21,1,3,1,3
